,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
4,109,NYG,B.J. Goodson\GoodB.00,OLB,23,2018,0,0,1,4,4,32,0,0,0,0,0,0,0,0,0,0,0,62,2,,Clemson,College Stats
4,110,LAR,Tyler Higbee\HigbTy00,TE,23,2018,0,0,2,4,4,43,0,0,0,0,0,0,0,0,53,578,4,,,,West. Kentucky,College Stats
4,111,DET,Miles Killebrew\KillMi00,S,23,2018,0,0,0,3,3,42,0,0,0,0,0,0,0,0,0,0,0,41,2,,Southern Utah,
4,112,NWE,Malcolm Mitchell\MitcMa01,WR,24,2016,0,0,0,4,4,14,0,0,0,0,0,0,0,0,32,401,4,,,,Georgia,College Stats
4,113,CHI,Nick Kwiatkoski\KwiaNi00,ILB,23,2018,0,0,0,8,8,35,0,0,0,0,0,0,0,0,0,0,0,75,,3.0,West Virginia,College Stats
4,114,CLE,Ricardo Louis\LouiRi00,WR,22,2017,0,0,1,3,3,32,0,0,0,0,0,0,0,0,45,562,0,,,,Auburn,College Stats
4,115,ATL,De'Vondre Campbell\CampDe00,OLB,23,2018,0,0,3,11,11,37,0,0,0,0,0,0,0,0,0,0,0,135,1,2.0,Minnesota,College Stats
4,116,IND,Hassan Ridgeway\RidgHa00,DT,21,2018,0,0,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,16,,4.5,Texas,College Stats
4,117,LAR,Pharoh Cooper\CoopPh00,WR,21,2018,1,1,0,3,3,28,0,1,0,0,1,1,6,0,25,190,0,,,,South Carolina,College Stats
4,118,NYJ,Juston Burris\BurrJu00,CB,23,2018,0,0,0,3,3,34,0,0,0,0,0,0,0,0,0,0,0,27,2,,North Carolina St.,College Stats
4,119,HOU,Tyler Ervin\ErviTy00,RB,22,2018,0,0,0,0,0,25,0,0,0,0,0,5,15,0,14,91,0,,,,San Jose St.,College Stats
4,120,NOR,David Onyemata\OnyeDa00,DT,23,2018,0,0,0,5,5,42,0,0,0,0,0,0,0,0,0,0,0,43,,2.0,Manitoba,
4,121,MIN,Willie Beavers\BeavWi00,T,22,2016,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,West. Michigan,College Stats
4,122,CIN,Andrew Billings\BillAn00,NT,21,2018,0,0,1,3,3,25,0,0,0,0,0,0,0,0,0,0,0,23,,2.0,Baylor,College Stats
4,123,PIT,Jerald Hawkins\HawkJe00,T,22,2017,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,College Stats
